id,center_id,pass_id,member_id,trainer_member_id,starts_at,ends_at,status,consumed,cancelled_reason,cancelled_by_uid,cancelled_at,attended_at,created_by_uid,created_at,updated_at,source,requested_at,approved_at,approved_by_uid,rejected_reason,booking_reason,attendance_reminded_at,reschedule_history
518,1,96,288,1,2026-09-06 02:00:00+00,2026-09-06 02:30:00+00,booked,f,,,,,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 03:40:56.930315+00,2026-08-21 03:40:56.930315+00,staff,,,,,,,[]
646,1,103,288,1,2026-08-29 02:00:00+00,2026-08-29 02:30:00+00,booked,f,,,,,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 04:15:28.061774+00,2026-08-21 04:20:13.658769+00,staff,,,,,,,[]
647,1,103,288,1,2026-08-22 02:00:00+00,2026-08-22 02:30:00+00,attended,t,,,,2026-08-22 04:04:08.283+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 04:15:28.061774+00,2026-08-22 04:04:08.280231+00,staff,,,,,,,[]
648,1,103,288,1,2026-08-17 00:00:00+00,2026-08-17 00:30:00+00,attended,t,,,,2026-08-17 00:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 04:15:28.061774+00,2026-08-21 04:20:13.658769+00,staff,,,,,,,[]
649,1,103,288,1,2026-08-09 02:00:00+00,2026-08-09 02:30:00+00,attended,t,,,,2026-08-09 02:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 04:15:28.061774+00,2026-08-21 04:20:13.658769+00,staff,,,,,,,[]
650,1,103,288,1,2026-07-25 02:00:00+00,2026-07-25 02:30:00+00,attended,t,,,,2026-07-25 02:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 04:15:28.061774+00,2026-08-21 04:20:13.658769+00,staff,,,,,,,[]
651,1,103,288,1,2026-07-18 02:00:00+00,2026-07-18 02:30:00+00,attended,t,,,,2026-07-18 02:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 04:15:28.061774+00,2026-08-21 04:20:13.658769+00,staff,,,,,,,[]
652,1,103,288,1,2026-07-11 05:00:00+00,2026-07-11 05:30:00+00,attended,t,,,,2026-07-11 05:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 04:15:28.061774+00,2026-08-21 04:20:13.658769+00,staff,,,,,,,[]
653,1,103,288,1,2026-07-04 02:00:00+00,2026-07-04 02:30:00+00,attended,t,,,,2026-07-04 02:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 04:15:28.061774+00,2026-08-21 04:20:13.658769+00,staff,,,,,,,[]
654,1,103,288,1,2026-06-27 02:00:00+00,2026-06-27 02:30:00+00,attended,t,,,,2026-06-27 02:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 04:15:28.061774+00,2026-08-21 04:20:13.658769+00,staff,,,,,,,[]
