id,center_id,pass_id,member_id,trainer_member_id,starts_at,ends_at,status,consumed,cancelled_reason,cancelled_by_uid,cancelled_at,attended_at,created_by_uid,created_at,updated_at,source,requested_at,approved_at,approved_by_uid,rejected_reason,booking_reason,attendance_reminded_at,reschedule_history
7797,1,74,1623,1,2026-09-02 01:00:00+00,2026-09-02 01:50:00+00,booked,f,,,,,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-25 03:05:54.866296+00,2026-08-25 03:05:54.866296+00,staff,,,,,,,[]
7795,1,74,1623,1,2026-09-01 01:00:00+00,2026-09-01 01:50:00+00,booked,f,,,,,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-25 03:04:28.182941+00,2026-08-25 03:04:28.182941+00,staff,,,,,,,[]
7796,1,74,1623,2,2026-09-01 00:00:00+00,2026-09-01 00:50:00+00,booked,f,,,,,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-25 03:05:10.142295+00,2026-08-25 03:05:10.142295+00,staff,,,,,,,[]
4982,1,74,1623,1,2026-08-19 01:30:00+00,2026-08-19 02:00:00+00,attended,t,,,,2026-08-19 01:30:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-24 12:20:01.898092+00,2026-08-24 14:04:56.879921+00,staff,,,,,,,[]
341,1,74,1623,1,2026-08-19 01:00:00+00,2026-08-19 01:30:00+00,attended,t,,,,2026-08-19 01:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-20 11:46:59.58236+00,2026-08-20 11:46:59.58236+00,staff,,,,,,,[]
340,1,74,1623,2,2026-08-19 00:00:00+00,2026-08-19 00:50:00+00,attended,t,,,,2026-08-19 01:30:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-20 11:46:59.58236+00,2026-08-21 03:58:00.397922+00,staff,,,,,,,"[{""reason"": null, ""changed_at"": ""2026-08-21T03:58:00.385Z"", ""to_ends_at"": ""2026-08-19T00:50:00.000Z"", ""from_ends_at"": ""2026-08-19T02:00:00+00:00"", ""to_starts_at"": ""2026-08-19T00:00:00.000Z"", ""changed_by_uid"": ""9c2y4VaE4INXKm4skvpx1KAMSMj2"", ""from_starts_at"": ""2026-08-19T01:30:00+00:00""}]"
4983,1,74,1623,1,2026-08-18 01:30:00+00,2026-08-18 02:00:00+00,attended,t,,,,2026-08-18 01:30:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-24 12:20:01.994142+00,2026-08-24 14:04:56.879921+00,staff,,,,,,,[]
343,1,74,1623,1,2026-08-18 01:00:00+00,2026-08-18 01:30:00+00,attended,t,,,,2026-08-18 01:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-20 11:46:59.58236+00,2026-08-20 11:46:59.58236+00,staff,,,,,,,[]
342,1,74,1623,2,2026-08-17 23:30:00+00,2026-08-18 00:20:00+00,attended,t,,,,2026-08-18 01:30:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-20 11:46:59.58236+00,2026-08-21 03:57:48.511488+00,staff,,,,,,,"[{""reason"": null, ""changed_at"": ""2026-08-21T03:57:48.466Z"", ""to_ends_at"": ""2026-08-18T00:20:00.000Z"", ""from_ends_at"": ""2026-08-18T02:00:00+00:00"", ""to_starts_at"": ""2026-08-17T23:30:00.000Z"", ""changed_by_uid"": ""9c2y4VaE4INXKm4skvpx1KAMSMj2"", ""from_starts_at"": ""2026-08-18T01:30:00+00:00""}]"
344,1,74,1623,1,2026-08-12 01:00:00+00,2026-08-12 01:30:00+00,attended,t,,,,2026-08-12 01:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-20 11:46:59.58236+00,2026-08-20 11:46:59.58236+00,staff,,,,,,,[]
345,1,74,1623,1,2026-08-11 01:00:00+00,2026-08-11 01:50:00+00,attended,t,,,,2026-08-11 01:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-20 11:46:59.58236+00,2026-08-20 11:46:59.58236+00,staff,,,,,,,[]
346,1,74,1623,1,2026-08-04 01:00:00+00,2026-08-04 01:30:00+00,attended,t,,,,2026-08-04 01:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-20 11:46:59.58236+00,2026-08-20 11:46:59.58236+00,staff,,,,,,,[]
347,1,74,1623,1,2026-07-29 01:00:00+00,2026-07-29 01:30:00+00,attended,t,,,,2026-07-29 01:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-20 11:46:59.58236+00,2026-08-20 11:46:59.58236+00,staff,,,,,,,[]
348,1,74,1623,1,2026-07-28 01:00:00+00,2026-07-28 01:30:00+00,attended,t,,,,2026-07-28 01:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-20 11:46:59.58236+00,2026-08-20 11:46:59.58236+00,staff,,,,,,,[]
349,1,74,1623,1,2026-07-21 01:30:00+00,2026-07-21 02:00:00+00,attended,t,,,,2026-07-21 01:30:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-20 11:46:59.58236+00,2026-08-20 11:46:59.58236+00,staff,,,,,,,[]
350,1,74,1623,1,2026-07-21 01:00:00+00,2026-07-21 01:30:00+00,attended,t,,,,2026-07-21 01:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-20 11:46:59.58236+00,2026-08-20 11:46:59.58236+00,staff,,,,,,,[]
351,1,74,1623,1,2026-07-15 01:30:00+00,2026-07-15 02:00:00+00,attended,t,,,,2026-07-15 01:30:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-20 11:46:59.58236+00,2026-08-20 11:46:59.58236+00,staff,,,,,,,[]
352,1,74,1623,1,2026-07-15 01:00:00+00,2026-07-15 01:30:00+00,attended,t,,,,2026-07-15 01:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-20 11:46:59.58236+00,2026-08-20 11:46:59.58236+00,staff,,,,,,,[]
353,1,74,1623,1,2026-07-14 06:00:00+00,2026-07-14 06:50:00+00,attended,t,,,,2026-07-14 06:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-20 11:46:59.58236+00,2026-08-20 11:46:59.58236+00,staff,,,,,,,[]
