id,center_id,pass_id,member_id,trainer_member_id,starts_at,ends_at,status,consumed,cancelled_reason,cancelled_by_uid,cancelled_at,attended_at,created_by_uid,created_at,updated_at,source,requested_at,approved_at,approved_by_uid,rejected_reason,booking_reason,attendance_reminded_at,reschedule_history
7794,1,82,1666,1,2026-09-02 00:00:00+00,2026-09-02 00:50:00+00,booked,f,,,,,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-25 03:04:15.8279+00,2026-08-25 03:04:15.8279+00,staff,,,,,,,[]
7793,1,82,1666,1,2026-09-01 00:00:00+00,2026-09-01 00:50:00+00,booked,f,,,,,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-25 03:04:00.16788+00,2026-08-25 03:04:00.16788+00,staff,,,,,,,[]
372,1,82,1666,1,2026-08-31 00:00:00+00,2026-08-31 00:50:00+00,booked,f,,,,,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
373,1,82,1666,1,2026-08-29 01:00:00+00,2026-08-29 01:50:00+00,booked,f,,,,,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
374,1,82,1666,1,2026-08-28 01:00:00+00,2026-08-28 01:50:00+00,booked,f,,,,,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
375,1,82,1666,1,2026-08-28 00:00:00+00,2026-08-28 00:50:00+00,booked,f,,,,,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
376,1,82,1666,1,2026-08-21 00:00:00+00,2026-08-21 00:50:00+00,attended,t,,,,2026-08-21 00:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
377,1,82,1666,1,2026-08-20 00:00:00+00,2026-08-20 00:50:00+00,attended,t,,,,2026-08-20 00:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
378,1,82,1666,1,2026-08-19 23:00:00+00,2026-08-19 23:50:00+00,attended,t,,,,2026-08-19 23:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
379,1,82,1666,1,2026-08-19 00:00:00+00,2026-08-19 00:50:00+00,attended,t,,,,2026-08-19 00:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
