id,center_id,pass_id,member_id,trainer_member_id,starts_at,ends_at,status,consumed,cancelled_reason,cancelled_by_uid,cancelled_at,attended_at,created_by_uid,created_at,updated_at,source,requested_at,approved_at,approved_by_uid,rejected_reason,booking_reason,attendance_reminded_at,reschedule_history
789,1,83,83,2,2026-10-12 10:00:00+00,2026-10-12 10:50:00+00,booked,f,,,,,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-24 03:34:20.880426+00,2026-08-24 03:34:20.880426+00,staff,,,,,,,[]
788,1,83,83,2,2026-10-07 10:00:00+00,2026-10-07 10:50:00+00,booked,f,,,,,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-24 03:34:20.567343+00,2026-08-24 03:34:20.567343+00,staff,,,,,,,[]
787,1,83,83,2,2026-10-05 10:00:00+00,2026-10-05 10:50:00+00,booked,f,,,,,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-24 03:34:20.32809+00,2026-08-24 03:34:20.32809+00,staff,,,,,,,[]
786,1,83,83,2,2026-09-30 10:00:00+00,2026-09-30 10:50:00+00,booked,f,,,,,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-24 03:34:19.9862+00,2026-08-24 03:34:19.9862+00,staff,,,,,,,[]
785,1,83,83,2,2026-09-28 10:00:00+00,2026-09-28 10:50:00+00,booked,f,,,,,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-24 03:34:19.676272+00,2026-08-24 03:34:19.676272+00,staff,,,,,,,[]
784,1,83,83,2,2026-09-23 10:00:00+00,2026-09-23 10:50:00+00,booked,f,,,,,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-24 03:34:19.343466+00,2026-08-24 03:34:19.343466+00,staff,,,,,,,[]
783,1,83,83,2,2026-09-21 10:00:00+00,2026-09-21 10:50:00+00,booked,f,,,,,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-24 03:34:19.071088+00,2026-08-24 03:34:19.071088+00,staff,,,,,,,[]
782,1,83,83,2,2026-09-16 10:00:00+00,2026-09-16 10:50:00+00,booked,f,,,,,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-24 03:34:18.734045+00,2026-08-24 03:34:18.734045+00,staff,,,,,,,[]
781,1,83,83,2,2026-09-14 10:00:00+00,2026-09-14 10:50:00+00,booked,f,,,,,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-24 03:34:18.449466+00,2026-08-24 03:34:18.449466+00,staff,,,,,,,[]
780,1,83,83,2,2026-09-09 10:00:00+00,2026-09-09 10:50:00+00,booked,f,,,,,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-24 03:34:18.104329+00,2026-08-24 03:34:18.104329+00,staff,,,,,,,[]
